"","Country","percentage.expenditure","Life.expectancy","Adult.Mortality","Alcohol","BMI","GDP","Schooling","unemployment_rate","number_pass_abortion_laws"
"1","Afghanistan",3.55420769912155,58.19375,5.59494369462205,0.014375,15.51875,5.8289909856068,8.2125,11.139375,0.142857142857143
"2","Albania",5.26403172755453,75.15625,3.80805041504517,4.84875,49.06875,7.65904243429555,12.1375,15.948125,1
"3","Algeria",5.52915493636347,73.4866666666667,4.73736735559948,0.406666666666667,48.0266666666667,7.92378012050345,12.6,15.580625,0.428571428571429
"4","Angola",4.69049387480621,48.7933333333333,5.79342002984879,5.74066666666667,17.6666666666667,7.52856453437819,7.82,5.329375,0.142857142857143
"5","Argentina",6.7148679970604,75.08,4.6571299249188,7.96666666666667,54.46,8.78986393605255,16.4533333333333,10.70875,0.571428571428571
"6","Armenia",4.93979247441842,73.3066666666667,4.76501888692999,3.70266666666667,44.0266666666667,7.65381510843643,11.7266666666667,13.95,1
"7","Australia",8.64606267579101,81.7466666666667,4.15051483368916,10.1553333333333,55.1466666666667,10.4095953712404,20.0133333333333,5.499375,1
"8","Austria",8.5673161433321,81.48,4.18661983833127,12.236,47.6666666666667,10.4094487118362,15.3533333333333,5.015,1
"9","Azerbaijan",4.9408706728094,70.6,4.74493212836325,0.992,43.2666666666667,8.16606192130053,11.26,7.04875,1
"10","Bahrain",6.46494070621839,75.6466666666667,4.17643645094057,1.93466666666667,50.86,9.25193698154072,14.0866666666667,1.130625,1
"11","Bangladesh",3.54025481358026,69.1333333333333,4.95723451736914,0.01,12.5133333333333,6.14215576079099,8.59333333333333,4.085,0.142857142857143
"12","Barbados",6.02831577631098,74.28,4.33423597083753,8.20666666666667,45.4066666666667,9.3742475215471,14.8666666666667,10.0275,0.857142857142857
"13","Belarus",5.86073746355537,69.7466666666667,5.39483893353866,13.4973333333333,54.24,8.2076796718749,14.6933333333333,8.089375,1
"14","Belgium",7.84460449642224,80.6533333333333,4.24754240729409,11.0426666666667,50.04,9.78428358658628,16.8,7.635,1
"15","Belize",5.96674413956588,69.1533333333333,5.03825046112923,6.25266666666667,39.7933333333333,8.26149540963998,12.4333333333333,9.064375,0.714285714285714
"16","Benin",3.84854532969088,57.4066666666667,5.60113432658409,1,19.2066666666667,6.30319751141337,8.72666666666667,1.3075,0.714285714285714
"17","Bhutan",4.96806414071697,65.92,5.44472385164186,0.278666666666667,17.12,7.14677984098234,10.0733333333333,2.735,0.285714285714286
"18","Brazil",6.03246724893969,73.2733333333333,5.01904428367763,7.21333333333333,46.46,8.69431599693461,14.0933333333333,8.343125,0.285714285714286
"19","Bulgaria",5.92459856654483,72.74,4.82617812517188,10.8653333333333,53.7533333333333,8.47679099462969,13.64,11.604375,1
"20","Burkina Faso",4.01665841972871,55.36,5.58949332825407,4.24133333333333,15.24,5.98315685425933,5.25333333333333,3.5,0.714285714285714
"21","Burundi",2.79470877822751,55.2666666666667,5.67606863608869,4.10333333333333,15.0866666666667,4.97506058167436,7.27333333333333,1.6025,0.428571428571429
"22","Cambodia",3.58489757221669,64.0533333333333,5.28759340318506,1.486,15.08,6.03961328001706,9.80666666666667,0.8575,1
"23","Cameroon",3.85918015885043,53.8,5.67240646674056,4.14133333333333,23.26,6.62023556220329,8.80666666666667,4.614375,0.571428571428571
"24","Canada",8.5185957213152,81.6533333333333,4.16924587039522,8.05333333333333,55.12,10.2560458462156,15.8466666666667,7.11375,1
"25","Central African Republic",3.775804103417,48.2466666666667,5.79544966318202,1.23133333333333,16.7133333333333,5.89724783036496,6.18,5.628125,0.142857142857143
"26","Chad",3.53890335294843,50.2066666666667,5.38998455507386,0.411333333333333,16.1333333333333,6.14267066079522,6.00666666666667,0.92875,0.428571428571429
"27","Chile",6.71809913007247,79.08,4.13356527537538,6.978,55.04,8.64920673922858,14.8066666666667,8.760625,0
"28","China",4.36296290970348,74.14,4.29045944114839,4.182,21.0666666666667,7.80127234390147,11.3,4.40375,1
"29","Colombia",6.31188517503312,73.1866666666667,4.81218435537242,4.41933333333333,48.9866666666667,8.16055722608926,12.14,11.695625,0.714285714285714
"30","Comoros",3.9301291906059,61.4533333333333,5.48838661013282,0.134666666666667,17.86,6.43599041522504,9.88,6.034375,0.428571428571429
"31","Costa Rica",6.94426375311194,78.5266666666667,4.21459369037368,3.92466666666667,49.4066666666667,8.32956596602219,12.7466666666667,7.093125,0.428571428571429
"32","Croatia",7.12317313134764,75.9933333333333,4.48413185761104,12.448,51.6,9.09252399655153,13.7933333333333,13.614375,1
"33","Cuba",5.9632402508869,77.9,4.01216995403308,4.19066666666667,48.6666666666667,8.11421891726394,14.7466666666667,2.715625,1
"34","Cyprus",6.90258716312793,79.32,3.99391016490033,10.2606666666667,56.2866666666667,9.59336469335443,13.4666666666667,7.2675,0.714285714285714
"35","Denmark",8.6425136480111,78.8066666666667,4.18560615350043,10.708,55.6266666666667,10.4607460547125,17.06,5.6275,1
